Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
0	299.72296	22.251377	348.01773	260.7631	0.0	0.0	0.0	0.0	5000	10.061683416366577
1	256.05545	70.501976	327.59866	84.96791	0.1	0.29999998	1.0	0.0	10000	92.02733087539673
2	258.49783	75.6747	373.821	91.90213	2.2727273	3.3868976	11.0	0.0	15000	174.8347954750061
3	296.40192	43.828056	344.62927	186.18883	2.3	3.436568	11.0	0.0	20000	258.57355666160583
4	318.65787	52.361263	421.75488	234.86302	0.8	1.077033	3.0	0.0	25000	341.7596917152405
5	301.2103	42.234196	374.05484	237.10672	2.5	3.0413814	7.0	0.0	30000	426.50869059562683
6	343.01584	57.456562	436.70096	239.5313	6.4	5.043808	14.0	0.0	35000	511.72888016700745
7	370.14136	48.881702	441.32898	277.5792	2.3	3.8999999	13.0	0.0	40000	599.0395565032959
8	361.4015	56.476315	433.80536	269.59946	6.7	8.112336	25.0	0.0	45000	682.739284992218
9	362.1319	54.33306	434.49472	240.25864	2.6	5.499091	17.0	0.0	50000	769.9498045444489
10	375.8905	51.553066	473.2008	300.77002	2.4	6.264184	21.0	0.0	55000	855.7346196174622
11	330.95352	74.13932	475.62784	232.64398	4.4	8.901686	25.0	0.0	60000	942.7007579803467
12	321.4679	67.55478	405.67844	137.203	3.5454545	5.6143265	18.0	0.0	65000	1027.4656209945679
13	332.7518	80.49479	425.73093	203.34499	4.6	7.1161785	25.0	0.0	70000	1111.4432582855225
14	373.64645	54.901863	453.405	283.47684	7.0	9.518403	26.0	0.0	75000	1197.5925221443176
15	380.12943	61.65972	491.771	269.22485	8.1	8.584288	31.0	0.0	80000	1283.3869314193726
16	412.9002	72.1531	508.01938	227.49045	5.5	7.4330344	19.0	0.0	85000	1367.6010241508484
17	456.47955	46.160236	519.15643	388.0733	11.4	6.5452275	20.0	1.0	90000	1452.3519151210785
18	419.65665	57.13363	523.47656	348.31964	10.5	5.6789083	20.0	3.0	95000	1536.624641418457
19	456.78897	79.23487	552.04236	333.14563	22.5	10.947602	44.0	4.0	100000	1618.7797513008118
20	487.77026	60.837162	563.6982	339.40344	35.9	23.214005	89.0	4.0	105000	1709.3653445243835
21	526.9522	58.664215	596.2621	412.73514	25.5	11.146749	46.0	10.0	110000	1801.5296816825867
22	527.8571	85.14398	616.77954	351.49686	20.3	8.402976	37.0	5.0	115000	1890.7663807868958
23	511.01984	82.02398	696.32385	386.54092	27.3	25.581436	98.0	3.0	120000	1979.3404006958008
24	547.54065	65.47027	677.40106	442.4795	23.5	14.86775	62.0	9.0	125000	2066.9901394844055
25	568.475	47.91819	688.7341	510.30615	24.5	9.542012	46.0	11.0	130000	2150.3077852725983
26	567.45105	95.98366	695.7235	386.49603	23.6	24.249537	73.0	2.0	135000	2236.5247213840485
27	652.7275	32.12493	698.29694	576.56586	24.3	21.972937	70.0	0.0	140000	2321.854024410248
28	622.3965	128.53203	686.53955	242.43648	29.9	13.163966	60.0	6.0	145000	2407.672311067581
29	657.5169	50.476936	727.1868	537.2792	36.6	21.772459	87.0	10.0	150000	2493.0532064437866
30	678.5945	54.166576	741.3968	565.97845	27.8	10.428806	49.0	14.0	155000	2579.3695273399353
31	725.8651	39.56404	783.86035	666.48145	39.8	11.4	63.0	26.0	160000	2666.4601333141327
32	745.4612	48.481926	817.68414	686.6309	44.0	17.720045	69.0	3.0	165000	2752.074756860733
33	746.95264	56.352375	855.66705	634.256	48.0	19.904774	89.0	25.0	170000	2837.464773416519
34	792.3141	48.92672	857.77625	702.26855	51.0	16.816658	91.0	35.0	175000	2923.274391412735
35	828.75275	39.42351	900.51483	763.36487	67.7	26.218506	119.0	25.0	180000	3008.1543922424316
36	842.1627	27.406149	879.7795	803.66797	68.9	22.416288	104.0	23.0	185000	3094.108258962631
37	850.181	50.174248	902.1803	723.1033	55.6	12.729494	78.0	37.0	190000	3178.1380462646484
38	906.68085	30.574326	943.5575	825.18463	80.6	20.977129	127.0	57.0	195000	3262.833393573761
39	928.9554	19.848814	966.49164	890.14343	134.5	29.544035	186.0	96.0	200000	3348.309676885605
40	946.89417	29.527073	993.1817	892.852	180.2	47.122818	266.0	110.0	205000	3432.398670196533
41	973.1157	25.725582	1008.8265	926.45734	223.1	43.791435	301.0	143.0	210000	3517.9878146648407
42	977.6969	18.939806	1016.8488	955.3061	220.5	41.06641	293.0	156.0	215000	3603.0607924461365
43	1003.59357	11.855514	1022.8814	985.9904	260.4	34.716568	320.0	226.0	220000	3687.7653572559357
44	1008.1004	26.074312	1038.0298	944.75946	293.5	33.067356	349.0	238.0	225000	3772.5937542915344
45	1007.203	32.23664	1045.3689	933.651	292.8	48.989388	366.0	209.0	230000	3856.845539331436
46	1019.80664	16.03772	1043.0966	985.71533	292.9	39.05496	342.0	218.0	235000	3940.6575214862823
47	1015.3454	42.14889	1065.297	921.9611	292.0	48.126915	356.0	200.0	240000	4025.134329557419
48	1040.5844	14.118605	1059.2323	1019.2973	319.4	26.348434	354.0	288.0	245000	4109.478896141052
49	1041.9822	12.89813	1063.3344	1023.098	325.4	28.436596	357.0	258.0	250000	4191.471440553665
50	1037.1299	13.161529	1056.8219	1012.93665	312.2	30.808441	360.0	253.0	255000	4276.603803873062
51	1039.6855	9.864007	1056.7992	1024.1492	317.9	19.87184	350.0	289.0	260000	4357.786900281906
52	1047.89	11.620878	1061.1073	1020.28613	334.6	32.24655	371.0	251.0	265000	4443.0290360450745
53	1048.705	15.680245	1069.6116	1023.0219	336.3	22.578972	357.0	276.0	270000	4526.450197219849
54	1053.702	21.221113	1077.0916	1000.2067	344.3	21.931938	379.0	303.0	275000	4610.370198726654
55	1047.9401	10.567478	1063.3167	1025.775	344.2	21.994545	369.0	296.0	280000	4694.481338262558
56	1064.1293	8.49609	1078.7039	1051.0502	377.6	19.566298	407.0	339.0	285000	4775.557677984238
57	1050.0002	28.248125	1083.89	991.957	356.7	46.171528	410.0	279.0	290000	4861.888741970062
58	1055.6047	16.623867	1087.0175	1031.3328	351.2	32.055576	422.0	296.0	295000	4944.12130355835
59	1062.1821	16.919752	1088.3806	1026.7817	360.6	29.011032	405.0	303.0	300000	5029.073312997818
60	1056.1487	20.43258	1084.4603	1020.8254	361.5	36.175266	407.0	294.0	305000	5112.763728141785
61	1049.984	22.1043	1074.4059	993.83356	346.7	38.704136	410.0	273.0	310000	5195.078096628189
62	1061.8517	11.049703	1075.7919	1038.1578	371.4	23.397438	401.0	328.0	315000	5279.480557203293
63	1056.6787	28.110807	1099.016	1008.49335	377.3	33.58586	419.0	316.0	320000	5363.090717315674
64	1063.6154	15.495694	1084.0289	1024.675	359.5	37.903168	416.0	267.0	325000	5444.269454717636
65	1066.5527	20.112593	1100.2123	1034.992	374.8	37.60798	439.0	326.0	330000	5529.084228515625
66	1068.8022	17.461397	1088.7334	1032.3187	373.7	33.23868	414.0	307.0	335000	5610.685981273651
67	1032.6115	29.605097	1067.9048	966.98315	324.2	33.084137	370.0	262.0	340000	5694.683933258057
68	1050.8113	15.101009	1071.6775	1025.4756	366.7	23.677204	399.0	315.0	345000	5778.90438747406
69	1071.3511	12.985167	1095.0493	1056.398	394.3	28.266764	454.0	352.0	350000	5858.603777885437
70	1057.5925	8.896526	1067.6118	1043.4418	359.1	16.705986	385.0	339.0	355000	5943.216210126877
71	1057.8035	21.653666	1087.3099	1013.87885	353.5	43.832066	406.0	256.0	360000	6024.468979597092
72	1071.7687	20.752985	1104.7455	1036.7777	379.0	35.451374	448.0	306.0	365000	6107.114703416824
73	1065.8937	17.735868	1100.851	1037.8333	388.5	27.64869	433.0	342.0	370000	6189.792386054993
74	1068.1888	21.918228	1096.7004	1019.31354	375.9	38.65087	419.0	287.0	375000	6273.129815340042
75	1056.4678	41.130913	1100.4374	969.50323	364.5	49.30162	438.0	282.0	380000	6356.461163520813
76	1071.365	19.158667	1094.1901	1025.9143	361.5	36.5356	423.0	294.0	385000	6439.949305295944
