Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
0	299.72296	22.251377	348.01773	260.7631	0.0	0.0	0.0	0.0	5000	7.499389171600342
1	258.70468	66.50898	328.87418	82.9575	0.4	0.91651505	3.0	0.0	10000	72.7894492149353
2	251.3667	41.66603	339.05133	191.95486	0.2	0.59999996	2.0	0.0	15000	153.07697439193726
3	257.79825	55.264233	326.7311	117.64181	1.0	2.6832814	9.0	0.0	20000	233.30558013916016
4	247.0231	27.145908	296.1828	186.8852	2.5	3.471311	10.0	0.0	25000	333.4353537559509
5	277.04846	41.890617	364.24713	234.43642	1.1	2.4677925	8.0	0.0	30000	414.33421874046326
6	283.06424	72.11111	385.53363	108.67675	0.45454547	1.1570839	4.0	0.0	35000	496.8807919025421
7	298.74734	66.48744	378.704	171.17055	2.1	3.6180103	11.0	0.0	40000	579.3305780887604
8	342.70502	56.53974	424.11224	262.56412	2.9	4.3920383	13.0	0.0	45000	660.8425512313843
9	379.9378	36.536953	432.7865	312.0179	8.3	9.121952	29.0	0.0	50000	740.2659919261932
10	361.92105	41.44509	426.266	269.91452	3.5	4.883646	16.0	0.0	55000	820.3233275413513
11	356.04767	44.705387	422.24014	282.62488	1.9	4.7843494	16.0	0.0	60000	901.1591074466705
12	352.8951	100.38968	548.0329	149.46384	7.6363635	8.76224	26.0	0.0	65000	982.9952557086945
13	416.0288	51.97206	486.2205	333.15967	7.6	7.5259547	20.0	0.0	70000	1067.3604304790497
14	445.63654	72.91915	551.0046	306.39728	8.1	9.213577	25.0	0.0	75000	1149.0034546852112
15	436.15616	73.93712	557.78503	268.3215	6.7	8.343261	28.0	0.0	80000	1230.6227328777313
16	453.7627	51.10629	550.989	385.20956	7.6	7.6967525	24.0	0.0	85000	1315.0700192451477
17	486.46362	90.629486	611.0428	317.47443	21.4	31.96936	110.0	0.0	90000	1401.775681257248
18	572.94415	68.98727	642.80615	400.09882	2.5	2.2472205	7.0	0.0	95000	1486.157131433487
19	545.05786	69.499985	649.06744	419.42007	6.8	7.5604234	25.0	0.0	100000	1570.831934928894
20	603.1732	84.55714	718.4312	449.0571	5.0	6.942622	20.0	0.0	105000	1677.1021621227264
21	626.6671	81.927666	750.06415	502.05225	5.7	4.148494	16.0	1.0	110000	1784.38250374794
22	615.33545	78.53123	737.15924	491.9374	7.4	5.624944	17.0	0.0	115000	1894.7912201881409
23	596.8968	93.768745	730.9934	444.42728	3.4	3.5552776	10.0	0.0	120000	2008.7386136054993
24	623.1288	150.70663	763.26575	332.10712	6.8	4.093898	12.0	0.0	125000	2132.7880294322968
25	708.67834	46.62998	778.0344	637.3844	3.9	3.6728735	12.0	0.0	130000	2272.8699011802673
26	677.2919	51.251278	724.6057	585.5634	3.9	4.482187	11.0	0.0	135000	2425.40376996994
27	700.7799	55.07017	765.5172	597.22784	1.8	2.6758175	8.0	0.0	140000	2582.7588539123535
28	742.0726	29.170568	783.33325	687.576	2.8	3.2802439	11.0	0.0	145000	2747.365102291107
29	790.53143	24.899376	825.32776	756.1681	2.3	3.9761791	13.0	0.0	150000	2919.725893974304
30	755.7625	89.555046	829.02014	505.03848	1.5	1.5	5.0	0.0	155000	3070.144206047058
31	702.42346	136.81978	806.9089	374.11935	4.1	3.3301654	10.0	0.0	160000	3209.7516827583313
32	834.43005	18.419575	866.5585	796.5513	2.2	2.5612497	9.0	0.0	165000	3363.2067811489105
