Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
0	299.72296	22.251377	348.01773	260.7631	0.0	0.0	0.0	0.0	5000	8.646416664123535
1	239.44868	61.881268	340.5305	82.9575	0.7	1.7916473	6.0	0.0	10000	71.74330806732178
2	197.9807	48.66117	253.58298	81.203255	2.7272727	7.1362185	25.0	0.0	15000	145.87703442573547
3	261.4605	32.877335	321.31305	215.91228	5.2	5.895761	18.0	0.0	20000	217.79963064193726
4	275.341	39.60444	343.048	198.24231	2.3	5.967412	20.0	0.0	25000	293.2572567462921
5	285.93698	39.39474	373.36215	233.23566	7.4	9.562427	27.0	0.0	30000	366.60368251800537
6	253.24829	58.83965	349.19116	152.41022	3.8181818	6.2204676	17.0	0.0	35000	441.97377467155457
7	345.33762	25.116909	388.94186	308.86038	5.5	8.321658	27.0	0.0	40000	517.3945069313049
8	319.1949	53.99796	444.26712	264.09402	7.7	7.4437895	18.0	0.0	45000	594.152738571167
9	292.7823	65.45098	406.78638	165.20941	17.6	38.93122	133.0	0.0	50000	672.1900339126587
10	343.46646	30.405437	413.02408	303.3811	11.3	9.839208	37.0	2.0	55000	745.595300912857
11	342.20422	59.48315	424.93338	201.40724	10.545455	10.263471	29.0	0.0	60000	821.7363555431366
12	349.4345	47.37742	448.03772	274.0228	4.8	5.134199	14.0	0.0	65000	898.1716759204865
13	316.0604	56.727364	378.05252	180.35709	3.6	4.340507	14.0	0.0	70000	975.2999012470245
14	372.5086	23.93639	418.36404	334.80038	7.3	7.267049	22.0	0.0	75000	1051.0019850730896
15	345.8188	52.677364	417.90164	230.1278	9.1	9.417537	27.0	0.0	80000	1124.3668854236603
16	388.26636	53.18712	458.18552	277.7876	14.3	11.41972	40.0	0.0	85000	1203.0296337604523
17	418.6625	63.147663	517.0137	286.97302	32.0	18.439089	70.0	3.0	90000	1277.118881225586
18	413.7792	52.89358	489.24384	298.66742	29.1	14.215837	50.0	12.0	95000	1353.3599920272827
