Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
0	299.72296	22.251377	348.01773	260.7631	0.0	0.0	0.0	0.0	5000	51.614389181137085
1	259.33493	46.660797	342.25348	170.71178	0.2	0.59999996	2.0	0.0	10000	138.0110023021698
2	231.03255	72.65156	357.6059	86.40983	1.0	1.8973665	6.0	0.0	15000	227.10767078399658
3	279.96753	48.236828	344.5028	186.20673	0.2	0.59999996	2.0	0.0	20000	321.6359417438507
4	221.0842	87.705734	352.23358	71.859695	2.1	4.6572523	15.0	0.0	25000	410.75673270225525
5	251.15155	66.483955	352.81458	95.65182	2.4545455	5.2633142	17.0	0.0	30000	503.46308398246765
6	277.14703	25.979078	320.55008	238.1986	1.2	2.9933262	10.0	0.0	35000	599.8987901210785
7	271.206	56.59705	385.66486	175.50482	0.6	1.2806249	4.0	0.0	40000	717.6032631397247
8	278.4416	42.823124	363.7645	199.4108	2.9	5.3000007	16.0	0.0	45000	810.7636711597443
9	356.3625	47.945217	449.51782	301.69818	8.7	10.668176	33.0	0.0	50000	903.92138838768
10	379.516	57.84598	480.52017	280.15292	2.7	3.822303	11.0	0.0	55000	1014.8866677284241
11	357.86108	56.037174	442.606	252.57779	4.6	7.6576757	25.0	0.0	60000	1124.9113731384277
12	356.9936	61.241997	421.85376	211.37192	2.6	5.986652	20.0	0.0	65000	1240.23388338089
13	388.6002	60.091347	507.59863	303.72763	4.7	6.403905	22.0	0.0	70000	1343.2837271690369
14	402.0324	36.321445	459.74854	358.65515	2.8	5.192302	17.0	0.0	75000	1443.1086268424988
15	402.49103	54.46844	482.38004	273.6349	4.090909	4.122103	12.0	0.0	80000	1539.7092444896698
16	415.62177	69.50108	512.29584	302.36655	4.7	5.8489313	19.0	0.0	85000	1635.3706214427948
17	429.68646	52.033012	529.39044	360.7773	3.0	5.4405885	18.0	0.0	90000	1754.4229791164398
18	437.34186	50.880947	526.8465	370.48602	10.8	11.133733	36.0	0.0	95000	1862.2082109451294
19	451.2792	62.21038	572.58856	347.1971	25.5	58.084854	199.0	0.0	100000	1962.3379786014557
20	479.1081	45.205097	538.5919	408.52432	3.8	3.6276712	10.0	0.0	105000	2124.495370864868
21	425.09384	54.328712	502.22852	320.6284	1.1	1.7578397	6.0	0.0	110000	2306.655854701996
22	485.15625	37.397232	558.3634	427.65445	5.3	5.311309	15.0	0.0	115000	2486.2089715003967
23	501.0045	50.74325	594.0559	409.0053	5.9	7.105632	24.0	0.0	120000	2643.6359946727753
24	509.6277	51.852295	617.15137	421.58987	1.5	2.0124612	5.0	0.0	125000	2833.6994037628174
25	539.2218	22.067099	571.29834	496.0725	3.1	3.9610605	12.0	0.0	130000	3025.871510744095
26	573.25073	32.50723	624.1075	528.2831	4.7	6.768308	19.0	0.0	135000	3225.2645013332367
27	596.77435	45.728386	662.001	503.99533	1.9	2.2113342	6.0	0.0	140000	3409.260496854782
28	618.9089	53.132706	679.38965	473.64667	23.2	31.387259	92.0	0.0	145000	3594.7157859802246
29	609.9723	67.6239	702.1565	459.6267	18.5	31.391878	109.0	0.0	150000	3775.2166633605957
30	685.4745	40.949566	755.34174	628.6766	9.3	6.341136	20.0	0.0	155000	3954.5547823905945
31	675.1073	31.81839	731.67377	630.222	10.7	20.62062	72.0	0.0	160000	4162.724449396133
32	732.09357	87.3804	834.8148	573.51697	5.3	5.3301034	17.0	0.0	165000	4365.806227445602
33	776.746	30.099966	837.1664	730.7081	3.3	3.067572	8.0	0.0	170000	4569.9436202049255
34	757.9772	60.67445	809.0483	630.2295	5.8	6.584831	21.0	0.0	175000	4772.878581285477
35	792.95953	18.925278	828.7932	763.8105	6.1	4.3	16.0	1.0	180000	4983.201219797134
36	816.9277	46.305473	869.60614	691.3966	4.8	5.509991	17.0	0.0	185000	5206.209836244583
37	824.0428	22.416357	856.2495	788.1215	4.8	2.8565714	9.0	0.0	190000	5417.842307329178
38	851.3712	12.260408	870.0844	834.5185	6.1	5.3563046	16.0	0.0	195000	5638.239982366562
39	833.45636	25.86422	866.433	766.79315	4.3	5.4781384	15.0	0.0	200000	5874.31364107132
40	856.62195	12.158618	877.4686	839.3223	2.3	1.9	6.0	0.0	205000	6094.850142240524
41	873.1244	11.418926	890.4498	848.0635	4.9	3.8845851	11.0	0.0	210000	6292.212480306625
42	885.2368	15.064399	907.8302	866.01624	4.5	2.5	10.0	2.0	215000	6485.186877250671
43	877.6735	26.207674	913.9647	833.45667	6.3	8.462269	29.0	0.0	220000	6690.840903759003
44	899.1388	7.8479767	911.50934	887.6123	5.9	4.1340055	13.0	0.0	225000	6896.105103731155
45	909.55646	11.7960415	930.0038	889.0163	7.1	4.614109	15.0	0.0	230000	7115.289509534836
46	897.1874	11.270913	915.188	879.6987	7.8	4.4	18.0	2.0	235000	7335.799963712692
47	897.03973	15.198832	923.04297	874.78015	6.9	5.2430906	17.0	2.0	240000	7551.689785003662
48	910.4982	9.479805	923.5115	892.6059	7.1	4.253234	16.0	2.0	245000	7764.10226726532
49	900.5563	10.130817	913.68567	881.67554	4.5	3.879433	11.0	0.0	250000	7978.513659000397
50	893.7126	11.45668	909.7494	871.5478	3.5	3.7215588	11.0	0.0	255000	8210.456461429596
51	890.47986	18.539236	927.83435	852.37695	3.4	4.3634853	16.0	0.0	260000	8440.491341352463
52	880.86835	24.939161	914.1199	831.7081	3.5	2.6551836	9.0	1.0	265000	8678.739348888397
