Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
0	299.72296	22.251377	348.01773	260.7631	0.0	0.0	0.0	0.0	5000	6.741215705871582
1	239.44868	61.881268	340.5305	82.9575	0.7	1.7916473	6.0	0.0	10000	53.149404764175415
2	197.9807	48.66117	253.58298	81.203255	2.7272727	7.1362185	25.0	0.0	15000	109.76364374160767
3	261.4605	32.877335	321.31305	215.91228	5.2	5.895761	18.0	0.0	20000	165.06080508232117
4	275.341	39.60444	343.048	198.24231	2.3	5.967412	20.0	0.0	25000	220.70430898666382
5	285.93698	39.39474	373.36215	233.23566	7.4	9.562427	27.0	0.0	30000	279.6314067840576
6	253.24829	58.83965	349.19116	152.41022	3.8181818	6.2204676	17.0	0.0	35000	334.7947452068329
7	345.33762	25.116909	388.94186	308.86038	5.5	8.321658	27.0	0.0	40000	393.1770257949829
8	319.1949	53.99796	444.26712	264.09402	7.7	7.4437895	18.0	0.0	45000	450.51424193382263
9	292.7823	65.45098	406.78638	165.20941	17.6	38.93122	133.0	0.0	50000	509.178507566452
10	343.46646	30.405437	413.02408	303.3811	11.3	9.839208	37.0	2.0	55000	569.8164112567902
11	342.20422	59.48315	424.93338	201.40724	10.545455	10.263471	29.0	0.0	60000	627.2630934715271
12	349.4345	47.37742	448.03772	274.0228	4.8	5.134199	14.0	0.0	65000	685.2711930274963
13	316.0604	56.727364	378.05252	180.35709	3.6	4.340507	14.0	0.0	70000	742.2440304756165
14	372.5086	23.93639	418.36404	334.80038	7.3	7.267049	22.0	0.0	75000	801.2830898761749
15	345.8188	52.677364	417.90164	230.1278	9.1	9.417537	27.0	0.0	80000	860.4160523414612
16	388.26636	53.18712	458.18552	277.7876	14.3	11.41972	40.0	0.0	85000	917.1420595645905
17	418.6625	63.147663	517.0137	286.97302	32.0	18.439089	70.0	3.0	90000	976.3299875259399
18	413.7792	52.89358	489.24384	298.66742	29.1	14.215837	50.0	12.0	95000	1034.5922899246216
19	448.85297	43.839863	498.74445	367.0191	27.2	8.304215	40.0	15.0	100000	1092.3154497146606
20	443.03156	66.16923	525.0855	299.6645	20.7	10.305823	36.0	0.0	105000	1149.2906336784363
21	425.17667	93.83875	488.2437	143.64987	32.0	13.1010065	58.0	13.0	110000	1208.894170999527
22	480.81192	56.800583	549.40485	345.06253	36.5	16.830032	73.0	6.0	115000	1266.106953382492
23	487.43896	40.023037	545.2522	385.45096	34.6	9.079648	50.0	16.0	120000	1323.0945191383362
24	438.38022	44.887627	548.9692	377.943	37.9	17.078934	81.0	24.0	125000	1382.3656458854675
25	484.33716	40.342705	568.5731	433.78143	45.3	6.0835843	53.0	35.0	130000	1439.386320590973
